package,url
biorecap,https://github.com/stephenturner/biorecap
qqman,https://github.com/stephenturner/qqman
Tmisc,https://github.com/stephenturner/Tmisc
Tverse,https://github.com/stephenturner/Tverse
string2dna,https://github.com/stephenturner/string2dna
kgp,https://github.com/stephenturner/kgp
rpdd,https://github.com/stephenturner/rpdd
hcop,https://github.com/stephenturner/hcop
tfboot,https://github.com/colossal-compsci/tfboot
pracpac,https://github.com/signaturescience/pracpac
skater,https://github.com/signaturescience/skater
fiphde,https://github.com/signaturescience/fiphde
rplanes,https://github.com/signaturescience/rplanes
focustools,https://github.com/signaturescience/focustools
